completeness,A1-A1,A1-A2,A1-B,B-A1,B-B,error A1-A2,error A1-B,error B-A1,form_name
"{'completeness': 100.0, 'A1-A1': 7, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 0, 'B-B': 27, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': []}",100.0,,,,,,,,00_00_bao_cao_tot_nghiep_du_hoc_sinh.txt
"{'completeness': 100.0, 'A1-A1': 7, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 0, 'B-B': 25, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': []}",100.0,,,,,,,,00_01_bao_cao_tot_nghiep_du_hoc_sinh.txt
"{'completeness': 100.0, 'A1-A1': 14, 'A1-A2': 0, 'A1-B': 1, 'B-A1': 1, 'B-B': 0, 'error A1-A2': [], 'error A1-B': [('user2_current_address', '#another')], 'error B-A1': [('#another', 'user2_occupation')]}",93.33333333333333,,,,,,,,01_00_BCC_thuc_hien_trach_nhiem_du_hoc_sinh.txt
"{'completeness': 100.0, 'A1-A1': 23, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 1, 'B-B': 0, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': [('#another', 'user2_occupation')]}",100.0,,,,,,,,01_01_BCC_thuc_hien_trach_nhiem_du_hoc_sinh.txt
"{'completeness': 100.0, 'A1-A1': 14, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 0, 'B-B': 5, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': []}",100.0,,,,,,,,02_00_cap_chinh_sach_noi_tru.txt
"{'completeness': 100.0, 'A1-A1': 11, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 0, 'B-B': 5, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': []}",100.0,,,,,,,,02_01_cap_chinh_sach_noi_tru.txt
"{'completeness': 100.0, 'A1-A1': 17, 'A1-A2': 0, 'A1-B': 2, 'B-A1': 0, 'B-B': 23, 'error A1-A2': [], 'error A1-B': [('user1_full_name', '#another'), ('user1_full_name', '#another')], 'error B-A1': []}",89.47368421052632,,,,,,,,03_00_cap_chinh_sach_noi_tru_dang_hoc.txt
"{'completeness': 100.0, 'A1-A1': 17, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 0, 'B-B': 23, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': []}",100.0,,,,,,,,03_01_cap_chinh_sach_noi_tru_dang_hoc.txt
"{'completeness': 100.0, 'A1-A1': 13, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 0, 'B-B': 7, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': []}",100.0,,,,,,,,06_00_cap_GPLX_quoc_te.txt
"{'completeness': 100.0, 'A1-A1': 15, 'A1-A2': 0, 'A1-B': 1, 'B-A1': 0, 'B-B': 7, 'error A1-A2': [], 'error A1-B': [('user1_alias_name', '#another')], 'error B-A1': []}",93.75,,,,,,,,06_01_cap_GPLX_quoc_te.txt
"{'completeness': 100.0, 'A1-A1': 7, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 0, 'B-B': 23, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': []}",100.0,,,,,,,,07_00_cap_lai_the_BHYT.txt
"{'completeness': 100.0, 'A1-A1': 4, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 1, 'B-B': 23, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': [('#another', 'user2_full_name')]}",100.0,,,,,,,,07_01_cap_lai_the_BHYT.txt
"{'completeness': 100.0, 'A1-A1': 14, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 0, 'B-B': 1, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': []}",100.0,,,,,,,,08_00_cccd.txt
"{'completeness': 100.0, 'A1-A1': 15, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 0, 'B-B': 0, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': []}",100.0,,,,,,,,08_01_cccd.txt
"{'completeness': 100.0, 'A1-A1': 16, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 0, 'B-B': 1, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': []}",100.0,,,,,,,,08_02_cccd.txt
"{'completeness': 100.0, 'A1-A1': 13, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 0, 'B-B': 9, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': []}",100.0,,,,,,,,09_00_cham_dut_huong_tro_cap_that_nghiep.txt
"{'completeness': 100.0, 'A1-A1': 13, 'A1-A2': 0, 'A1-B': 1, 'B-A1': 0, 'B-B': 7, 'error A1-A2': [], 'error A1-B': [('receiver', '#another')], 'error B-A1': []}",92.85714285714286,,,,,,,,09_01_cham_dut_huong_tro_cap_that_nghiep.txt
"{'completeness': 100.0, 'A1-A1': 15, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 0, 'B-B': 10, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': []}",100.0,,,,,,,,10_00_chuyen_noi_huong_tro_cap_that_nghiep.txt
"{'completeness': 100.0, 'A1-A1': 10, 'A1-A2': 1, 'A1-B': 1, 'B-A1': 0, 'B-B': 8, 'error A1-A2': [('user1_dob', 'user1_dob_date')], 'error A1-B': [('user1_alias_name', '#another')], 'error B-A1': []}",83.33333333333334,,,,,,,,10_01_chuyen_noi_huong_tro_cap_that_nghiep.txt
"{'completeness': 100.0, 'A1-A1': 28, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 0, 'B-B': 1, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': []}",100.0,,,,,,,,11_00_dang_ky_khai_sinh.txt
"{'completeness': 100.0, 'A1-A1': 27, 'A1-A2': 0, 'A1-B': 0, 'B-A1': 0, 'B-B': 1, 'error A1-A2': [], 'error A1-B': [], 'error B-A1': []}",100.0,,,,,,,,11_01_dang_ky_khai_sinh.txt
